trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
car1_Standard_toM_100000,10:07:30,10:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_101500,10:15:00,10:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_101500,10:22:30,10:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_103000,10:30:00,10:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_103000,10:37:30,10:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_104500,10:45:00,10:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_104500,10:52:30,10:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_110000,11:00:00,11:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_110000,11:07:30,11:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_111500,11:15:00,11:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_111500,11:22:30,11:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_113000,11:30:00,11:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_113000,11:37:30,11:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_114500,11:45:00,11:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_114500,11:52:30,11:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_120000,12:00:00,12:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_120000,12:07:30,12:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_121500,12:15:00,12:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_121500,12:22:30,12:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_123000,12:30:00,12:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_123000,12:37:30,12:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_124500,12:45:00,12:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_124500,12:52:30,12:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_130000,13:00:00,13:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_130000,13:07:30,13:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_131500,13:15:00,13:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_131500,13:22:30,13:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_133000,13:30:00,13:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_133000,13:37:30,13:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_134500,13:45:00,13:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_134500,13:52:30,13:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_140000,14:00:00,14:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_140000,14:07:30,14:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_141500,14:15:00,14:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_141500,14:22:30,14:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_143000,14:30:00,14:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_143000,14:37:30,14:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_144500,14:45:00,14:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_144500,14:52:30,14:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_150000,15:00:00,15:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_150000,15:07:30,15:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_151500,15:15:00,15:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_151500,15:22:30,15:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_153000,15:30:00,15:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_153000,15:37:30,15:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_154500,15:45:00,15:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_154500,15:52:30,15:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_160000,16:00:00,16:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_160000,16:07:30,16:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_161500,16:15:00,16:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_161500,16:22:30,16:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_163000,16:30:00,16:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_163000,16:37:30,16:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_164500,16:45:00,16:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_164500,16:52:30,16:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_170000,17:00:00,17:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_170000,17:07:30,17:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_171500,17:15:00,17:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_171500,17:22:30,17:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_173000,17:30:00,17:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_173000,17:37:30,17:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_174500,17:45:00,17:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_174500,17:52:30,17:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_180000,18:00:00,18:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_180000,18:07:30,18:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_181500,18:15:00,18:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_181500,18:22:30,18:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_183000,18:30:00,18:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_183000,18:37:30,18:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_184500,18:45:00,18:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_184500,18:52:30,18:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_190000,19:00:00,19:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_190000,19:07:30,19:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_191500,19:15:00,19:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_191500,19:22:30,19:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_193000,19:30:00,19:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_193000,19:37:30,19:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_194500,19:45:00,19:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_194500,19:52:30,19:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_200000,20:00:00,20:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_200000,20:07:30,20:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_201500,20:15:00,20:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_201500,20:22:30,20:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_203000,20:30:00,20:30:30,1,1,Manhattan,0,0,,,0,1
